Fecha,Pais,Contagios,Recuperados,Muertos
2020-01-22,China,547,28,17
2020-01-23,China,1082,58,34
2020-01-24,China,916,36,26
2020-01-25,China,1399,39,42
2020-01-26,China,2062,49,56
2020-01-27,China,2863,58,82
2020-01-28,China,5494,101,131
2020-01-29,China,6070,120,133
2020-01-30,China,8124,135,171
2020-01-31,China,9783,214,213
2020-02-01,China,11871,275,259
2020-02-02,China,16607,463,361
2020-02-03,China,19693,614,425
2020-02-04,China,23680,843,490
2020-02-05,China,27409,1115,562
2020-02-06,China,30553,1476,632
2020-02-07,China,34075,1998,717
2020-02-08,China,36778,2595,804
2020-02-09,China,39790,3218,904
2020-02-10,China,42306,3917,1011
2020-02-11,China,44327,4635,1111
2020-02-12,China,44699,5079,1116
2020-02-13,China,59832,6213,1368
2020-02-14,China,66292,7973,1520
2020-02-15,China,68347,9294,1662
2020-02-16,China,70446,10748,1765
2020-02-17,China,72364,12455,1863
2020-02-18,China,74139,14199,2002
2020-02-19,China,74546,15952,2114
2020-02-20,China,74999,18002,2236
2020-02-21,China,75472,18693,2236
2020-02-22,China,76922,22687,2441
2020-02-23,China,76938,23170,2443
2020-02-24,China,77152,24990,2593
2020-02-25,China,77660,27650,2663
2020-02-26,China,78065,30053,2715
2020-02-27,China,78498,32898,2744
2020-02-28,China,78824,36291,2788
2020-02-29,China,79251,39279,2835
2020-03-01,China,79826,42118,2870
2020-03-02,China,80026,44810,2912
2020-03-03,China,80151,47404,2945
2020-03-04,China,80271,49955,2981
2020-03-05,China,80422,52240,3013
2020-03-06,China,80573,53888,3042
2020-03-07,China,80652,55478,3070
2020-03-08,China,80699,57320,3097
2020-03-09,China,80735,58735,3120
2020-03-10,China,80757,60106,3136
2020-03-11,China,80921,61644,3161
2020-03-12,China,80932,62901,3172
2020-03-13,China,80945,64196,3180
2020-03-14,China,80977,65660,3193
2020-03-15,China,81003,67017,3203
2020-03-16,China,81033,67910,3217
2020-03-17,China,81058,68798,3230
2020-03-18,China,81102,69755,3241
2020-03-19,China,81156,70535,3249
2020-03-20,China,81250,71266,3253
2020-03-21,China,81305,71857,3259
2020-03-22,China,81397,72362,3265
2020-03-23,China,81496,72819,3274
